table_name,model_id,split,predicted_prob,actual_rate,bin,count
calibration,GNB001,train,8.591493442204102e-06,0.0123362341015587,2,
calibration,GNB001,train,3.182253576786446e-05,0.0158745338051066,3,
calibration,GNB001,train,8.955597566401218e-05,0.0217079468298747,4,
calibration,GNB001,train,0.0002054694205925,0.0267737617135207,5,
calibration,GNB001,train,0.0003921145421118,0.0338529214879984,6,
calibration,GNB001,train,0.0009461557717596,0.0502056039016926,7,
calibration,GNB001,train,0.0035543438491281,0.0837716362245385,8,
calibration,GNB001,train,0.0217464672780881,0.1437314717414172,9,
calibration,GNB001,train,0.2270732842084839,0.260279212086441,10,
calibration,GNB001,validation,7.46810809141931e-07,0.0189647478804105,1,
calibration,GNB001,validation,8.694927502180963e-06,0.0129406514948683,2,
calibration,GNB001,validation,3.242262662757674e-05,0.01963847355501,3,
calibration,GNB001,validation,9.212268932121964e-05,0.0249888442659527,4,
calibration,GNB001,validation,0.0002092446859721,0.0254350736278447,5,
calibration,GNB001,validation,0.0003952429611933,0.0365989734434278,6,
calibration,GNB001,validation,0.0009678892618118,0.0490852298081213,7,
calibration,GNB001,validation,0.0036800463541199,0.0778844008033921,8,
calibration,GNB001,validation,0.0209913422198684,0.1410084783578759,9,
calibration,GNB001,validation,0.2240804183481836,0.2634984381972334,10,
calibration,GNB002,train,0.00251395409535,0.0109963664180531,1,
calibration,GNB002,train,0.0052153697047707,0.025150616811705,2,
calibration,GNB002,train,0.0072236624154664,0.0267763220809027,3,
calibration,GNB002,train,0.0090014946100237,0.0315578081667782,4,
calibration,GNB002,train,0.0110857182258216,0.0367183017785427,5,
calibration,GNB002,train,0.0138512339702976,0.0408338911733766,6,
calibration,GNB002,train,0.0181068161132442,0.0557521277613082,7,
calibration,GNB002,train,0.0262870327270097,0.0816677823467533,8,
calibration,GNB002,train,0.0432161174376065,0.1304389404226833,9,
calibration,GNB002,train,0.1647894142467017,0.2300631095811818,10,
calibration,GNB002,validation,0.0025306415073214,0.0129406514948683,1,
calibration,GNB002,validation,0.005269328905496,0.0278893351182507,2,
calibration,GNB002,validation,0.007231832352051,0.0281187234992189,3,
calibration,GNB002,validation,0.0089982814556778,0.0287817938420348,4,
calibration,GNB002,validation,0.011073037268329,0.0345827755466309,5,
calibration,GNB002,validation,0.0138653094509519,0.0439634010265565,6,
calibration,GNB002,validation,0.0180943787690248,0.0486390004462293,7,
calibration,GNB002,validation,0.0260654136589642,0.0801160455255523,8,
calibration,GNB002,validation,0.0428378820446587,0.1305220883534136,9,
calibration,GNB002,validation,0.1664635696380267,0.2344935296742525,10,
calibration,GNB003,train,0.0028705752968094,0.0210365270606234,1,
calibration,GNB003,train,0.006047503806929,0.0211341684995696,2,
calibration,GNB003,train,0.0097163999579618,0.0318446973319307,3,
calibration,GNB003,train,0.0127119747606814,0.0346179592617385,4,
calibration,GNB003,train,0.0157675313632157,0.0385350927519602,5,
calibration,GNB003,train,0.0196697697403414,0.0439896719900545,6,
calibration,GNB003,train,0.0255351962371079,0.0515444200057377,7,
calibration,GNB003,train,0.0366823494500697,0.0745911829396576,8,
calibration,GNB003,train,0.0614241764946764,0.1220235249115425,9,
calibration,GNB003,train,0.1997512301373847,0.2306368330464716,10,
calibration,GNB003,validation,0.00290780922599,0.0236501561802766,1,
calibration,GNB003,validation,0.0061062399585578,0.0261044176706827,2,
calibration,GNB003,validation,0.0097652703185139,0.0343673287212675,3,
