model_id,split,risk_band,applicant_count,default_count,actual_default_rate,min_pd,mean_pd,max_pd,min_percentile,max_percentile,total_applicants,applicant_pct
LASSOSTACK001,validation,Low Risk,8963,40,0.004462791476068281,0.0168687815310085,0.017638932896229146,0.0180386245620148,2.2312961599393088e-05,0.19999107481536024,44817,0.19999107481536024
LASSOSTACK001,validation,Medium Risk,13445,184,0.013685384901450354,0.0180386629575786,0.019185486951540053,0.0211813852955727,0.20001338777695962,0.4999888435192003,44817,0.29999776870384004
LASSOSTACK001,validation,High Risk,13445,600,0.044626255113425065,0.0211836786056708,0.0321533685612586,0.0621245179483722,0.5000111564807997,0.7999866122230403,44817,0.29999776870384004
LASSOSTACK001,validation,Very High Risk,6723,1105,0.16436114829689127,0.0621258267762812,0.14325168895868073,0.3233379803855808,0.8000089251846397,0.9499966530557601,44817,0.15001004083271974
LASSOSTACK001,validation,Extreme Risk,2241,1074,0.47925033467202144,0.3233478834197578,0.5364402526938321,0.9529354858008762,0.9500189660173595,1.0,44817,0.050003346944239906
LGB001,train,Low Risk,20914,48,0.0022951133212202354,0.0015490902388095,0.005885232290234186,0.0082042499657154,9.562697828311323e-06,0.19999426238130302,104573,0.19999426238130302
LGB001,train,Medium Risk,31372,354,0.011283947469080709,0.0082042754351625,0.013297087819797219,0.0216609654459429,0.20000382507913134,0.49999521865108587,104573,0.30000095626978285
LGB001,train,High Risk,31372,1302,0.041501976284584984,0.0216614858814828,0.0441506078929892,0.082153582691786,0.5000095626978283,0.7999961749208687,104573,0.30000095626978285
LGB001,train,Very High Risk,15686,2606,0.16613540736962898,0.0821624599375955,0.1582729289470417,0.3325475987014672,0.800005737618697,0.9499966530557601,104573,0.15000047813489142
LGB001,train,Extreme Risk,5229,2696,0.515586154140371,0.3325792554286931,0.49673052737513174,0.9017082056311976,0.9500062157535885,1.0,104573,0.050003346944239906
LGB001,validation,Low Risk,8963,49,0.005466919558183644,0.0016991110872193,0.0058913455744306915,0.0082033258362703,2.2312961599393088e-05,0.19999107481536024,44817,0.19999107481536024
LGB001,validation,Medium Risk,13445,170,0.012644105615470434,0.0082034099586529,0.0133290053244406,0.0217294883219121,0.20001338777695962,0.4999888435192003,44817,0.29999776870384004
LGB001,validation,High Risk,13445,578,0.04298995909259948,0.0217303451232069,0.044201502557387494,0.082411238192059,0.5000111564807997,0.7999866122230403,44817,0.29999776870384004
LGB001,validation,Very High Risk,6723,1128,0.1677822400713967,0.082411534528603,0.15880723294335458,0.3345881554567103,0.8000089251846397,0.9499966530557601,44817,0.15001004083271974
LGB001,validation,Extreme Risk,2241,1078,0.4810352521195895,0.3348963900433569,0.4978633896913666,0.8694645996273666,0.9500189660173595,1.0,44817,0.050003346944239906
LGB002,train,Low Risk,20914,22,0.0010519269388926079,0.0009253612874504,0.004878041040809043,0.0072597212862044,9.562697828311323e-06,0.19999426238130302,104573,0.19999426238130302
LGB002,train,Medium Risk,31372,263,0.008383271707254877,0.0072597509666787,0.012524052986909034,0.021102460132194,0.20000382507913134,0.49999521865108587,104573,0.30000095626978285
LGB002,train,High Risk,31372,1219,0.038856304985337244,0.0211067385506741,0.04339354545913754,0.0828844921728789,0.5000047813489141,0.7999961749208687,104573,0.30000095626978285
LGB002,train,Very High Risk,15686,2627,0.16747418079816398,0.0828848445913658,0.16110316396740756,0.3336421892700608,0.800005737618697,0.9499966530557601,104573,0.15000047813489142
LGB002,train,Extreme Risk,5229,2875,0.5498183209026583,0.333797366164543,0.5011852430892452,0.8839955716570381,0.9500062157535885,1.0,104573,0.050003346944239906
LGB002,validation,Low Risk,8963,51,0.0056900591319870575,0.0009543687177111,0.0048893313237138615,0.0072822624443082,2.2312961599393088e-05,0.19999107481536024,44817,0.19999107481536024
LGB002,validation,Medium Risk,13445,167,0.01242097433990331,0.0072824084072846,0.012603461040731694,0.0212838937367245,0.20001338777695962,0.4999888435192003,44817,0.29999776870384004
LGB002,validation,High Risk,13445,581,0.043213090368166604,0.0212851017307282,0.04357390828332396,0.0829178432752851,0.5000111564807997,0.7999866122230403,44817,0.29999776870384004
LGB002,validation,Very High Risk,6723,1128,0.1677822400713967,0.0829213885529377,0.16111570271211043,0.3357619510270602,0.8000089251846397,0.9499966530557601,44817,0.15001004083271974
LGB002,validation,Extreme Risk,2241,1076,0.48014279339580546,0.3359137861110601,0.4992357806573201,0.8574754808300165,0.9500189660173595,1.0,44817,0.050003346944239906
LGB003,train,Low Risk,20914,52,0.002486372764655255,0.0017203566865335,0.005685463620942141,0.0080215910980371,9.562697828311323e-06,0.19999426238130302,104573,0.19999426238130302
LGB003,train,Medium Risk,31372,352,0.011220196353436185,0.0080217830771847,0.01313816485792267,0.0215397089397313,0.20000382507913134,0.49999521865108587,104573,0.30000095626978285
LGB003,train,High Risk,31372,1325,0.042235114114497006,0.0215401794418713,0.044197144251857896,0.0828944365010226,0.5000047813489141,0.7999961749208687,104573,0.30000095626978285
LGB003,train,Very High Risk,15685,2586,0.16487089576028052,0.0828983596610361,0.1586718653977312,0.3325321602010637,0.800005737618697,0.9499870903579318,104573,0.1499909154370631
LGB003,train,Extreme Risk,5230,2691,0.5145315487571702,0.3325505332400452,0.49667352801406195,0.9212258939248388,0.9500014344046742,1.0,104573,0.05001290964206822
LGB003,validation,Low Risk,8963,48,0.0053553497712819365,0.0015698930019503,0.005700392987146695,0.0080242775695768,2.2312961599393088e-05,0.19999107481536024,44817,0.19999107481536024
LGB003,validation,Medium Risk,13445,171,0.012718482707326144,0.0080248045406734,0.013190437757311718,0.0216330045605863,0.20001338777695962,0.4999888435192003,44817,0.29999776870384004
